SampleID,Month,Habitat,Depth,Year,Sampletype
June_P_1_S_12_so_R1,June,Palsa,S,2012,solid
June_P_1_D_12_so_R2,June,Palsa,D,2012,solid
June_P_1_D_12_so_R1,June,Palsa,D,2012,solid
June_S_1_S_12_so_R1,June,Bog,S,2012,solid
June_S_1_M_12_so_R1,June,Bog,M,2012,solid
June_S_1_D_12_so_R1,June,Bog,D,2012,solid
July_E_1_M_12_pw_R2,July,Fen,M,2012,porewater
July_E_1_M_12_pw_R1,July,Fen,M,2012,porewater
July_S_1_D_12_pw_R2,July,Bog,D,2012,porewater
July_S_1_D_12_pw_R1,July,Bog,D,2012,porewater
June_E_1_S_12_so_R1,June,Fen,S,2012,solid
Aug_S_1_D_12_pw_R2,August,Bog,D,2012,porewater
Aug_S_1_D_12_pw_R1,August,Bog,D,2012,porewater
Aug_S_1_M_12_pw_R1,August,Bog,M,2012,porewater
July_S_1_S_12_pw_R2,July,Bog,S,2012,porewater
July_S_1_S_12_pw_R1,July,Bog,S,2012,porewater
June_S_1_D_12_pw_R1,June,Bog,D,2012,porewater
June_E_1_D_12_so_R1,June,Fen,D,2012,solid
July_P_1_S_12_so_R1,July,Palsa,S,2012,solid
July_P_1_M_12_so_R1,July,Palsa,M,2012,solid
July_P_1_D_12_so_R1,July,Palsa,D,2012,solid
July_S_1_S_12_so_R1,July,Bog,S,2012,solid
July_S_1_M_12_so_R1,July,Bog,M,2012,solid
July_S_1_D_12_so_R1,July,Bog,D,2012,solid
July_E_1_S_12_so_R1,July,Fen,S,2012,solid
July_E_1_M_12_so_R2,July,Fen,M,2012,solid
July_E_1_D_12_so_R2,July,Fen,D,2012,solid
July_E_1_D_12_so_R1,July,Fen,D,2012,solid
Aug_P_1_S_12_so_R1,August,Palsa,S,2012,solid
Aug_P_1_M_12_so_R1,August,Palsa,M,2012,solid
Aug_P_1_D_12_so_R1,August,Palsa,D,2012,solid
Aug_S_1_S_12_so_R2,August,Bog,S,2012,solid
Aug_S_1_S_12_so_R1,August,Bog,S,2012,solid
Aug_S_1_M_12_so_R1,August,Bog,M,2012,solid
Aug_S_1_D_12_so_R1,August,Bog,D,2012,solid
Aug_E_1_S_12_so_R1,August,Fen,S,2012,solid
Aug_E_1_M_12_so_R1,August,Fen,M,2012,solid
Aug_E_1_D_12_so_R1,August,Fen,D,2012,solid
