Group,Transformation,Formula,mf
Abiotic,Oxidative_Deamination_to_Alcohol_(-H2N),HO,0.98402
Abiotic,Carbon/dehydrogenation,C13,1.00335
Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,1.03163
Abiotic,Oxidative_Defluorination_(-F),HO,1.99566
Abiotic,Hydrogenation/dehydrogenation,H2,2.015650074
Amino Acid,Transamination_(-O),NH4,2.039459
Abiotic,Tertiary_amine,N,14.00307401
Abiotic,Methylation_(-H),CH3,14.01565
Abiotic,Secondary_amine,NH,15.01089905
Other,Thiourea_to_Urea_(-S),O,15.97716
Abiotic,Oxidation/Hydroxylation_(-H),O,15.99491
Abiotic,Primary_amine,NH2,16.01872408
Abiotic,Oxidative_Dechlorination_(-Cl),HO,17.96611
Abiotic,Reductive_Defluorination_(-F),H,17.99058
Abiotic,Condensation/hydration/dehydration,H2O,18.01056471
Abiotic,C2H2,C2H2,26.01565007
Abiotic,Formic_Acid_(-H2O),CO,27.99491464
Abiotic,Ethyl_addition_(-H2O),C2H4,28.03130015
Abiotic,Nitro_Reduction_(-O2),H2,29.97418
Abiotic,Inorganic_Phosphate,P,30.9737634
Abiotic,Reductive_Dechlorination_(-Cl),H,33.96103
Abiotic,Acetylation_(-H2O),C2H2O,42.01056471
Abiotic,Carboxylation,CO2,43.98982928
Other,Carbamoyl_P_transfer_(-H2PO4),CH2ON,44.01363872
Abiotic,CHO2,CHO2,44.99765432
Sugar,Glyoxylate_(-H2O),C2O2,55.98982928
Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,57.02146
Abiotic,Acetone_(-H),C3H5O,57.03403983
Abiotic,Acetylation_(-H),C2H3O2,59.01330439
Other,Urea_addition_(-H),CH3N2O,59.02453777
Abiotic,Oxidative_Debromination_(-Br),HO,61.9156
Abiotic,Pyrophosphate,PP,61.9475268
Abiotic,Isoprene_addition_(-H),C5H7,67.05477526
Amino Acid,Alanine_(-H2O),C3H5NO,71.03711384
Abiotic,Reductive_Debromination_(-Br),H,77.91051
Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.95681
Abiotic,Phosphate,HPO3,79.96633236
Abiotic,Acetotacetate_(-H2O),C4H4O2,84.02112943
Other,Malonyl_group_(-H2O),C3H2O3,86.00039399
Amino Acid,Serine_(-H2O),C3H5NO2,87.03202848
Amino Acid,Proline_(-H2O),C5H7NO,97.05276391
Amino Acid,Valine_(-H2O),C5H9NO,99.06841398
Amino Acid,Threonine_(-H2O),C4H7NO2,101.0476785
Sugar,Erythrose_(-H2O),C4H8O4,102.031695
Amino Acid,Cysteine_(-H2O),C3H5NOS,103.0091856
